pipeline_id,seq,node_name,role,node_type,state_ut,latitude,longitude,coordinate_source,coordinate_method,coordinate_accuracy,coordinate_date,name_source,provenance_category
5.02.NGPL,2,Gurdaspur,terminus,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
5.03.NGPL,1,Mallavaram,origin,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
5.03.NGPL,2,Bhopal,intermediate,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
5.03.NGPL,3,Bhilwara,intermediate,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
5.03.NGPL,4,Vijaipur,terminus,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.16.NGPL,1,Dabhol,origin,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.16.NGPL,2,Bangalore,terminus,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.15.NGPL,1,Kochi,origin,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.15.NGPL,2,Koottanad,intermediate,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.15.NGPL,3,Bangalore,intermediate,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.15.NGPL,4,Mangalore,terminus,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
5.08.NGPL,1,Ennore,origin,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
5.08.NGPL,2,Tuticorin,terminus,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.20.NGPL,1,Jagdishpur,origin,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.20.NGPL,2,Haldia,intermediate,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.20.NGPL,3,Bokaro,intermediate,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.20.NGPL,4,Dhamra,intermediate,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.20.NGPL,5,Paradip,intermediate,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.20.NGPL,6,Barauni,intermediate,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
17.20.NGPL,7,Guwahati,terminus,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
5.13.NGPL,1,Mumbai,origin,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
5.13.NGPL,2,Nagpur,intermediate,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
5.13.NGPL,3,Jharsuguda,terminus,TBD_step2b,TBD_step2b,,,NOT_SOURCED,NOT_SOURCED,NOT_SOURCED,,pipeline_name (PNGRB register),A
